#Frequenies of a certain value of E. Binning of 0.1 from 0 to 6.3
0 39 3527 32341 77944 88739 63140 35255 17154 7629 3266 1488 649 295 148 77 30 20 14 8 5 3 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -3
0 21 3588 33274 79707 88740 62352 34418 16464 7333 3210 1428 649 280 143 80 30 22 15 6 6 6 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -4
0 34 3757 33681 80704 88807 62008 34147 16099 7087 3029 1316 563 265 113 78 37 26 10 9 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0
0 30 3317 31616 77886 88979 63573 35403 17062 7636 3426 1422 727 331 175 84 44 29 14 10 2 1 2 1 1 1 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -3
0 34 3576 32569 78845 88247 62966 34898 16893 7653 3273 1456 678 318 166 91 41 23 14 9 9 3 3 5 1 1 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -2
0 28 3492 32229 78197 88093 62754 35490 17221 7849 3474 1546 668 339 185 97 48 26 14 12 8 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  6
0 32 3534 33224 79225 87855 62594 35006 16740 7469 3285 1502 644 308 169 89 44 19 15 7 8 1 3 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0
0 34 3434 31791 78358 87800 63465 35536 17031 7822 3550 1572 748 315 161 81 38 11 9 11 3 1 1 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -3
0 23 3490 32750 78480 88333 63004 34980 17083 7629 3252 1494 608 303 174 79 35 21 15 6 3 6 3 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  2
0 30 3546 33418 79811 87817 62494 34465 16695 7420 3260 1485 690 297 158 81 44 26 14 12 3 2 3 2 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -3
