# AVG, MAX and MIN of the 16 spacial blocks in the lattice
0.574041 1.961027 0.199844 0.585941 2.837636 0.159486 0.579585 2.024066 0.160241 0.578081 2.147847 0.175113 0.588109 1.718503 0.175665 0.578126 1.873434 0.189473 0.580933 2.671391 0.188045 0.590420 2.136768 0.213124 0.578847 1.879567 0.181094 0.576630 1.708508 0.193688 0.576105 1.839553 0.187685 0.564590 2.470286 0.168081 0.588943 1.640985 0.173861 0.574356 2.240309 0.170924 0.584634 1.934388 0.183343 0.571223 1.950212 0.189188  -3
0.572080 1.733736 0.201887 0.575065 2.030604 0.165870 0.570236 2.054289 0.198141 0.569331 2.078953 0.188619 0.578134 2.166460 0.201397 0.574494 2.122358 0.202086 0.571398 1.816919 0.195795 0.579640 2.521383 0.156039 0.575568 2.394381 0.198130 0.576587 1.965418 0.182794 0.590411 2.669319 0.216164 0.574094 2.140040 0.200141 0.573738 1.785928 0.168866 0.591505 2.089816 0.191192 0.576726 2.222682 0.155962 0.571600 2.190362 0.208690  -4
0.561710 1.582193 0.186948 0.567807 1.770237 0.174630 0.567261 1.773023 0.189638 0.576614 1.935214 0.190478 0.575653 1.831565 0.184320 0.571343 2.168947 0.196643 0.577275 2.090797 0.175885 0.581887 2.047929 0.159835 0.574210 1.688021 0.199993 0.574766 1.726547 0.196232 0.576112 1.944400 0.177475 0.573916 2.050530 0.194456 0.582203 2.092253 0.204434 0.572042 1.677136 0.199040 0.574469 1.919443 0.157383 0.575605 1.932212 0.185952  0
0.578181 2.391892 0.191611 0.573269 2.467948 0.196898 0.577870 2.992311 0.156240 0.575686 1.711336 0.174267 0.572962 1.852347 0.170276 0.584136 2.502576 0.189989 0.588879 2.291719 0.193761 0.577467 1.920484 0.182436 0.582680 1.938660 0.196498 0.581016 1.821985 0.171305 0.575482 2.631768 0.175172 0.578760 2.005582 0.188428 0.583044 1.638724 0.194482 0.578870 1.686388 0.158917 0.584276 2.786968 0.189016 0.599406 1.865701 0.202050  -3
0.587497 2.857468 0.187233 0.581074 2.060639 0.187699 0.581885 1.711144 0.196802 0.576450 1.787426 0.150211 0.572791 1.622272 0.186144 0.575772 2.501096 0.190318 0.581753 2.672334 0.206916 0.577933 2.259076 0.189777 0.576883 3.014113 0.189131 0.585257 2.135335 0.182203 0.579899 1.706327 0.157589 0.580748 2.046747 0.177637 0.576205 1.688845 0.183877 0.574510 2.229942 0.199554 0.575047 2.086219 0.176739 0.577136 2.013195 0.187461  -2
0.584830 2.136645 0.167469 0.581203 1.878242 0.200174 0.579664 1.974595 0.195064 0.584672 2.325588 0.197026 0.582002 2.111657 0.206455 0.567249 2.578086 0.167119 0.588471 1.927211 0.194151 0.579172 1.649026 0.196920 0.582470 2.277674 0.139018 0.574389 1.634825 0.189850 0.570225 2.003945 0.162220 0.580993 2.054193 0.173734 0.578605 2.400510 0.200587 0.583858 1.905366 0.166726 0.579987 1.876914 0.188745 0.591720 1.995450 0.183928  6
0.582178 1.951369 0.196150 0.584422 2.086325 0.174793 0.577667 2.109426 0.195241 0.570738 1.814743 0.188831 0.577500 1.915238 0.173762 0.577926 2.843964 0.164463 0.572910 1.876585 0.190610 0.569846 2.042225 0.197023 0.575223 1.962502 0.199971 0.574768 1.559585 0.184302 0.590335 3.099439 0.210947 0.581795 2.079689 0.161616 0.583375 1.711146 0.164517 0.570339 1.853873 0.167903 0.576803 2.204341 0.170629 0.579720 1.968988 0.193887  0
0.571802 2.441836 0.179449 0.579311 1.639276 0.205435 0.580221 1.798164 0.137330 0.571256 1.691302 0.182760 0.587976 1.968364 0.183459 0.578852 1.593623 0.191813 0.584897 1.985795 0.175032 0.578884 2.094903 0.191149 0.583736 1.848988 0.197010 0.578312 2.526260 0.191469 0.579210 1.906826 0.160910 0.582348 1.934243 0.181719 0.585253 1.770972 0.194793 0.583217 2.747256 0.167133 0.583265 1.731114 0.209533 0.585373 1.983569 0.204691  -3
0.584089 2.259928 0.180607 0.582024 2.029496 0.159798 0.581701 1.912958 0.190901 0.577670 1.625067 0.195033 0.574846 2.134466 0.180146 0.585552 2.582851 0.211767 0.576717 1.856285 0.189298 0.574344 1.884493 0.194810 0.580747 1.656244 0.194464 0.570739 2.424853 0.156470 0.576827 1.877090 0.201531 0.586907 2.243426 0.202614 0.586155 2.455329 0.213964 0.575230 2.351885 0.184360 0.580710 1.781668 0.179996 0.567377 2.129918 0.189186  2
0.566942 1.827399 0.185763 0.580693 2.424063 0.193742 0.569058 1.980305 0.189755 0.576186 1.624719 0.150834 0.586628 3.009156 0.174348 0.571977 2.221154 0.200689 0.571910 1.648557 0.182297 0.571026 2.334672 0.186013 0.582617 2.218129 0.167145 0.582598 1.900201 0.214981 0.575102 1.933959 0.172561 0.583929 1.736723 0.194298 0.578321 1.994616 0.180525 0.580273 1.842695 0.182898 0.573286 2.704254 0.201135 0.582005 2.019198 0.196936  -3
0.581078 1.922374 0.202881 0.585456 1.669269 0.191194 0.582829 2.503760 0.187486 0.587794 1.958693 0.171375 0.576844 1.561598 0.187071 0.582105 1.806478 0.190028 0.568091 1.653176 0.193521 0.585912 2.521269 0.179630 0.574966 2.376902 0.164408 0.589335 2.105983 0.189424 0.578620 1.958315 0.173462 0.571954 2.401870 0.174840 0.577464 2.291585 0.172733 0.583738 2.093176 0.185799 0.581001 1.872215 0.185617 0.606171 2.635178 0.168083  -4
0.584526 2.060705 0.208539 0.574482 1.801286 0.175377 0.583934 1.930988 0.178868 0.574630 2.823719 0.195038 0.576636 2.130550 0.194806 0.584401 1.849709 0.173733 0.571891 2.149208 0.186027 0.584960 1.965366 0.171062 0.590445 1.534202 0.151948 0.583499 3.058912 0.162862 0.579923 2.103940 0.174266 0.570583 1.952111 0.197971 0.570777 2.321870 0.187771 0.574586 1.943247 0.188897 0.577496 1.834600 0.170992 0.574219 1.854715 0.178526  4
0.574568 2.241931 0.180131 0.579764 1.946628 0.177943 0.568938 2.038428 0.174046 0.570462 1.945591 0.194334 0.578299 2.447033 0.204847 0.586145 2.253021 0.198967 0.583954 1.825859 0.206810 0.579154 1.811167 0.201773 0.565062 2.632597 0.179030 0.561386 1.752650 0.165665 0.585097 2.119663 0.209470 0.577278 3.061479 0.189612 0.588298 1.690850 0.170830 0.585470 1.964354 0.178685 0.582351 1.851850 0.177854 0.574440 2.103484 0.191845  2
0.570686 1.943748 0.192721 0.586318 2.087233 0.187481 0.585562 1.880439 0.196653 0.589633 1.610143 0.200109 0.566152 1.859554 0.159476 0.588455 1.859025 0.180927 0.581249 2.339354 0.190446 0.572450 1.710731 0.176644 0.569432 1.678632 0.169608 0.572970 1.867267 0.196972 0.581865 1.765705 0.171480 0.574880 2.018746 0.189621 0.588476 2.026741 0.194268 0.574647 2.417102 0.161337 0.588168 2.112819 0.209059 0.572095 2.163854 0.186820  6
0.578443 1.942326 0.189122 0.576222 1.890535 0.196757 0.573778 2.064574 0.172588 0.587811 2.125435 0.189338 0.585330 2.461605 0.187287 0.578548 1.794979 0.172070 0.583204 2.178009 0.206516 0.586014 1.853534 0.193454 0.579211 1.820670 0.213936 0.576259 2.044773 0.180560 0.584724 1.872141 0.203650 0.585640 2.260346 0.170460 0.583856 2.134549 0.226209 0.579323 2.330302 0.194428 0.574653 2.238019 0.155170 0.583906 2.038473 0.166626  3
